Virus S20 S44 S45 S56 S57 S127.C S59.E.N5 N17 N22 N27 N32 N44 N53 N6 N62 N72 N90 N112 N123 N131 N152 N162 N170
6101.10 55 57 870 28 95 267 112 125 166 192 153 40 85 141 113 107 76 77 59 55 1372 48 45
Bal.01 607 275 1578 1228 697 1308 318 469 1277 2011 675 727 10745 397 301 672 521 1360 731 141 1590 1205 725
BG1168.01 520 176 79 39 58 152 46 228 69 50 34 541 224 87 67 158 204 228 148 83 167 130 72
CAAN.A2 150 164 222 23 73 93 75 130 119 491 156 107 269 226 313 173 215 136 112 259 1364 400 103
DU156.12 46 79 794 51 456 1185 147 69 232 227 171 302 115 461 <5 482 113 90 611 689 2021 307 605
DU422.01 95 142 97 43 78 309 75 272 617 418 99 443 163 166 290 359 129 340 252 265 325 123 122
JRCSF.JB 12445 303 3234 205 876 1391 589 478 389 996 565 3612 417 201 83 321 1095 354 558 145 1245 1224 1175
JRFL.JB 231 6121 18000 173 1766 3750 207 810 2702 558 1250 408 2225 2097 120 284 2147 974 523 157 860 1067 415
KER2018.11 75 115 88 74 55 160 193 105 89 45 167 143 264 63 121 86 358 149 458 162 397 342 56
PVO.04 113 182 172 144 143 496 93 617 87 126 1640 49 1712 245 339 383 183 598 1160 113 359 705 254
Q168.a2 55 81 251 140 187 628 44 175 121 97 133 152 2234 93 205 65 347 161 222 299 509 329 32
Q23.17 20000 520 1667 145 500 3652 108 225 607 452 1009 89 276 768 123 103 1714 447 339 204 1180 517 1487
Q769.h5 1424 144 732 1042 120 3032 19 978 <5 106 <5 2040 363 44 40 176 55 441 660 10 836 641 1476
RW020.2 34 237 207 217 563 956 243 566 374 2122 2088 17 1259 865 219 321 408 1529 241 225 1341 338 368
THRO.18 196 264 69 91 19 189 207 163 158 346 124 276 59 270 258 267 112 186 130 234 351 413 131
TRJO.58 296 236 262 14 51 749 54 75 95 153 96 173 11 68 <5 48 53 45 31 189 1231 198 47
TRO.11 967 1423 806 300 121 940 150 1321 416 1386 538 2326 209 413 393 475 177 749 544 329 2773 688 329
YU2.DG 42 217 767 84 251 320 102 134 211 93 55 24 1152 210 72 114 125 264 158 60 279 370 238
ZA012.29 47 89 301 53 222 734 16 290 160 53 150 268 125 205 305 147 110 129 79 48 39 116 131
ZM106.9 40 49 298 21 209 166 20 139 135 340 99 <5 59 327 <5 90 358 67 211 91 256 121 174
ZM55.28a 12 148 393 <5 94 178 79 133 260 21 97 <5 166 105 <5 76 115 127 153 57 85 57 309
