Pseudovirus ZM377 ZM380 ZM383 ZM384 ZM394 ZM413 ZM418 ZM378 ZM379 ZM395 ZM401 ZM405 ZM408 ZM415 ZM416 ZM417 HIVIg
ZM377.1   26 131  41  84  74  63 <10  217  146  770   29   <10   640    55   401   26  625
ZM377.11  <10  24  23  75 203  20 28  786   83 1639  27   <10   602    71   528   32  832
ZM377.16  <10  24  <10  56 267  <10 23  542  101  994   29   <10   341    55   445   <10  906
ZM377.5   42  28  39 110 204  31 27 1086 121 1121  42   22   202    76   716   32  568
ZM377.24  <10  21  47  79 235  53 <10 1088 170  564  141   <10  1382   48   371   26 1299
ZM377.3   22  20  <10  <10  28  <10 <10   21  106   39   30   <10   120   199    37   42 1992
ZM380.1   49  <10  60  24  30  <10 24  193   82  431  326   64  1162  136   123  149  440
ZM380.5   <10  <10  22  <10  <10  <10 <10  119   80   85  111   36   504    89    58   44  878
ZM380.11  26  <10  51  26  36  <10 <10  135   58  222   69   72   536    73   123   82  596
ZM380.12  21  <10  26  21  23  <10 <10  113   69   67   39   44   424    38    75   52  842
ZM384.2   24  <10  <10  <10  23  <10 <10   24   57   96   43   <10   424    22    82   27  904
ZM384.4   <10  <10  <10  23  27  <10 <10   <10   69   41   <10   <10   200    36   118   96 2151
ZM384.5   <10  <10  <10  <10  25  <10 <10   29   76   39   27   <10   172    39    47   94 2046
ZM394.10  NA  <10  20  <10  <10  <10 <10   22   75   87   NA   20    73    39    <10   45 2500
ZM394.20  29  23  21  28  32  23 23   43  106  260   44   41   116    35    52  124 1667
ZM394.14  21  26  27  28  20  <10 22   43   92  105   21   42    43    36    34   47 2075
ZM394.11  30  26  27  32  41  25 23   82   92  268   60  119   114    43    77  120 1680
ZM413.5   NA  NA  60 163  33  21 <10   83  104  114   NA  236   221   121    80   34 1858
ZM413.14  NA  NA  66  NA  22 101 <10  320   73   60   NA  119   123   159   138   28 2500
ZM413.19  NA  NA 216  NA  70 169 49   89   78   <10   NA   60   217    67   139   80 2347
ZM413.7   NA  NA 294 202  91  32 99  111  136   88   NA  216   311   122   126  190  754
ZM418.1   94  <10  38 300  64  24 20  200  121   60  126  161   304   542   144   40 1447
ZM418.6  232  <10 991 266 160  74 <10  510  163 2640 137 3203  318   931  1175  49  418
ZM418.9  206  39  48 369 262  54 27  143  147   54  118  205   463   249   457   74  655
ZM418.14  NA 148  38 972 777  43 51  305  120   80   NA  372   708   893  2290  84  250
ZM378.7   <10  <10  <10  <10  28  <10 <10   94   99  225  149   55   253    62    58   87 1267
ZM378.16  <10  <10  <10  69  49  <10 <10  162  109  592  215  354   209    84   106  112 1435
ZM378.13  NA  <10  25  <10  36  <10 <10   89   91  209   NA  165    95    45    60   83 1653
ZM378.10  <10  <10  <10  <10  35  <10 <10  168   91  409  111  157   302    68   105   98  931
ZM378.20  <10  <10  <10  29  72  26 <10  239  120  774  144  531   325    78   150  139  887
ZM379.2   <10  <10  <10  <10  <10  <10 <10   <10   77   <10   79   <10   237   133   107   26 2500
ZM379.4   <10  22  20  65  <10  <10 <10   <10   85   <10   58   <10   160   155   128   35 2500
ZM379.15  <10  <10  <10  <10  <10  <10 <10   <10   83   <10   95   <10    95   234   158   25 2500
ZM379.8   25  <10  29  27  53  24 <10  102  128   90   77   69   233   166   138   93 1525
ZM395.10  NA  <10  <10  97  21  <10 21   39   98   26   NA   <10  1175   58    86   92 1143
