,"X19956","X19298","X19554","X19708","X19642","X18969","X19829"
"MB_pA1",72,174,100,284,130,112,94
"MB_pA2",42,129,"<40",210,51,"<40",133
"MB_pA3",88,245,215,520,203,671,309
"94UG103",88,254,373,423,258,106,"<40"
"92RW020",201,200,300,569,252,1118,935
"APV-16",124,307,262,462,188,98,115
"APV-20",427,341,236,273,215,121,59
"APV-9",123,122,148,193,170,67,65
"92BR020",320,363,576,63,377,551,431
"MB_pB1",146,182,343,136,173,"<40",65
"MB_pB2",314,594,990,249,391,285,172
"MB_pC1",113,207,163,49,110,"<40",73
"93IN905",225,"<40",67,114,85,182,48
"IAVI_C22",42,60,72,72,41,"<40","<40"
"MBC6",79,308,136,170,104,181,106
"MBC3",149,499,372,292,214,892,1257
"94IN11246-3",112,715,241,147,268,1335,1707
"93MW960",186,315,187,357,207,515,573
"MB_pD1",200,694,189,172,187,"<40","<40"
"MB_pD2",103,365,209,153,100,73,"<40"
"MB_pD3",77,95,88,88,"<40",95,"<40"
"92UG001",187,232,97,165,161,"<40","<40"
"93UG070",195,271,204,209,121,"<40","<40"
1196,512,"NA","NA",285,491,919,956
"BaL",1247,1754,"NA",2792,898,514,751
"JRCSF",126,348,1096,708,261,142,67
"NL4-3",2409,1202,5239,1256,2771,1153,1166
"SF162",13936,"NA","NA","NA",5343,4784,4075
