	"X19250"	"X19559"	"X19663"	"X19768"	"X19542"	"X18971"	"X19999"	"X19383"	"X18829"	"X19335"	"X19789"	"X19843"	"X19417"	"X19334"	"X19342"
"MB_pA1"	46	61	"<40"	78	47	49	63	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pA2"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pA3"	166	142	126	111	"<40"	124	335	"<40"	"<40"	"<40"	"<40"	40	"<40"	"<40"	"<40"
"94UG103"	"<40"	"<40"	"<40"	"<40"	"<40"	40	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"92RW020"	272	143	441	187	58	86	83	"<40"	"<40"	"<40"	"<40"	54	44	"<40"	"<40"
"APV-16"	82	69	116	59	44	47	68	58	"<40"	46	61	49	46	40	51
"APV-20"	89	94	105	"<40"	96	56	84	53	67	106	54	50	54	88	53
"APV-9"	41	"<40"	53	"<40"	258	42	"<40"	"<40"	67	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"92BR020"	290	220	412	77	62	96	52	77	80	95	79	93	64	81	62
"MB_pB1"	49	93	71	78	"<40"	"<40"	"<40"	41	"<40"	"<40"	41	"<40"	"<40"	"<40"	"<40"
"MB_pB2"	97	108	106	200	81	82	"<40"	80	85	64	"<40"	"<40"	56	"<40"	"<40"
"MB_pC1"	40	45	"<40"	44	71	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"93IN905"	149	195	221	"<40"	56	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"IAVI_C22"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MBC6"	197	74	59	115	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MBC3"	511	290	677	255	141	"(55)"	"<40"	"<40"	80	"<40"	"<40"	"<40"	"<40"	65	51
"94IN11246-3"	380	340	607	64	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"93MW960"	207	273	267	107	"<40"	77	76	47	"<40"	48	49	"<40"	"<40"	"<40"	"<40"
"MB_pD1"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pD2"	146	87	"<40"	"<40"	54	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"MB_pD3"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	41	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"92UG001"	153	53	45	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
"93UG070"	189	65	"<40"	43	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"	"<40"
1196	546	270	474	135	256	218	284	102	148	175	179	70	164	91	133
"BaL"	820	328	815	358	297	284	104	219	385	243	157	123	478	100	260
"JRCSF"	"<40"	85	128	"<40"	"<40"	57	72	"<40"	"<40"	"<40"	"<40"	83	74	"<40"	"<40"
"NL4-3"	2654	936	849	338	727	563	371	1645	1909	936	668	480	948	676	1312
"SF162"	11257	2307	3624	1736	4016	2781	1157	3770	4019	3732	2317	1497	3209	1711	3066
